sample_id,category,code,human,gemini,gemini_reason,section_text
S001,CCC,community,0,1,The text refers to 'creators' as a specific group with a dedicated 'creator code of conduct' and 'Creator Academy'.,"All creators must follow our creator code of conduct in addition to our Community Guidelines , Terms of Service , and any policies relevant to our monetization products, such as TikTok Shop, Creator Rewards Program, and TikTok LIVE. Learn more about the creator code of conduct in our Creator Academy"
S001,CCC,care,0,1,"The section directs users to the 'Creator Academy' as a resource where they can 'Learn more', which qualifies as educational support.","All creators must follow our creator code of conduct in addition to our Community Guidelines , Terms of Service , and any policies relevant to our monetization products, such as TikTok Shop, Creator Rewards Program, and TikTok LIVE. Learn more about the creator code of conduct in our Creator Academy"
S003,CG,power,0,1,The text asserts the platform's authority by stating 'We do not permit sexually exploitative content.',"Sexual exploitation

 Sexual exploitation is defined as any actual or attempted abuse of a position of vulnerability, power, or trust for sexual purposes, including profiting monetarily, socially, or politically from the sexual exploitation of another. We do not permit sexually exploitative content."
S003,CG,engagement,0,1,"The text prohibits specific forms of user participation by stating 'Do not post, upload, stream, or share' certain content.","Sexual exploitation

 Sexual exploitation is defined as any actual or attempted abuse of a position of vulnerability, power, or trust for sexual purposes, including profiting monetarily, socially, or politically from the sexual exploitation of another. We do not permit sexually exploitative content."
S005,CG,community,1,0,,"NOT ALLOWED 
- Misinformation that poses a risk to public safety or may induce panic about a crisis event or emergency, including using historical footage of a previous attack as if it were current, or incorrectly claiming a basic necessity (such as food or water) is no longer available in a particu"
S006,CG,power,0,1,"The section asserts the platform's authority by explicitly prohibiting users from posting, uploading, streaming, or sharing specific content.","Sexual exploitation of minors includes any abuse of a position of power or trust for sexual purposes, including profiting financially, socially, sexually, or politically from the exploitation of a minor. CSAM is defined as any visual depiction of sexually explicit nudity or conduct of a minor, wheth"
S006,CG,engagement,0,1,"The text prohibits specific forms of interactivity and participation, such as posting, uploading, streaming, sharing, and using features like duets.","Sexual exploitation of minors includes any abuse of a position of power or trust for sexual purposes, including profiting financially, socially, sexually, or politically from the exploitation of a minor. CSAM is defined as any visual depiction of sexually explicit nudity or conduct of a minor, wheth"
S008,CG,engagement,0,1,"The text discusses content being 'eligible for the FYF' and how it is 'viewed', which relates to platform participation.","Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive con"
S008,CG,improvement,0,1,The text describes an effort to enhance platform features by discussing the 'approach to safeguarding and diversifying recommendations'.,"Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive con"
S008,CG,care,0,1,The text directs users to educational resources by stating 'Learn more about our approach...'.,"Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive con"
S009,CG,power,0,1,The section asserts the platform's authority by stating 'We do not allow account behaviors...',"**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than"
