sample_id,source,category,gemini_power,gemini_reason_power,gemini_privacy,gemini_reason_privacy,gemini_safety,gemini_reason_safety,gemini_choice,gemini_reason_choice,gemini_community,gemini_reason_community,gemini_engagement,gemini_reason_engagement,gemini_ip_protection,gemini_reason_ip_protection,gemini_improvement,gemini_reason_improvement,gemini_care,gemini_reason_care,gemini_accountability,gemini_reason_accountability,gemini_B1_authenticity_claims,gemini_reason_B1_authenticity_claims,gemini_B2_religious_sensitivity,gemini_reason_B2_religious_sensitivity,gemini_B3_indigenous_minority,gemini_reason_B3_indigenous_minority,gemini_B4_traditional_craftsmanship,gemini_reason_B4_traditional_craftsmanship,gemini_B5_commercialization_culture,gemini_reason_B5_commercialization_culture,gemini_B6_ai_cultural_content,gemini_reason_B6_ai_cultural_content
H001,heritage,TOS,1,The section is framed as a list of prohibitions ('You may not') and asserts platform authority ('we reserve the right... in our sole discretion').,0,,1,"The section lists numerous content and behavior prohibitions designed to prevent harm, such as harassment, violence, and hate speech.",0,,0,,0,,1,"The section prohibits reverse engineering and infringing on 'copyright, trademark or other intellectual property' rights.",0,,0,,0,,0,,1,"The section lists 'religion' as a protected attribute in its rules against discrimination, which is a governance context.",1,"The section lists 'race' as a protected attribute in its rules against discrimination, which is a governance context.",0,,0,,0,
H002,heritage,CG,1,"The section issues content prohibitions using platform-authority language like 'We also suspend or ban accounts', 'We also do not allow', and 'Do not post'.",0,,1,"The section describes prohibitions against harmful content, defining and banning hate speech, threats, and dehumanization.",0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'Religion' in a list of protected attributes within a content rule section.,1,The section contains the keyword 'Ethnicity' in a list of protected attributes within a content rule section.,0,,0,,0,
H003,heritage,CG,1,"The section defines categories of prohibited content (terrorism, organized hate) and how the platform interprets 'attacks,' which is an act of governance.",0,,1,"The section defines severe harms like terrorism, violence, and organized hate for the purpose of prevention.",0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keywords 'religious' and 'religion' in the context of defining content rules for terrorism and organized hate.,1,The section contains the keywords 'ethnic' and 'ethnicity' in the context of defining content rules for terrorism and organized hate.,0,,0,,0,
H004,heritage,CG,1,"The section contains a direct content prohibition: 'We do not allow any hateful behavior, hate speech...'",0,,1,The section prohibits hateful behavior and speech to prevent harm to individuals and groups.,0,,0,,0,,0,,0,,0,,0,,0,,1,The keyword 'Religion' is present as a protected attribute within a content governance rule.,1,The keywords 'Ethnicity' and 'Tribe' are present as protected attributes within a content governance rule.,0,,0,,0,
H005,heritage,CG,1,"The section uses prohibitive language like 'Do not post' and 'We do not allow,' asserting platform authority over content.",0,,1,The section prohibits content related to violence and dangerous organizations to prevent harm.,0,,0,,0,,0,,0,,0,,0,,0,,1,The keyword 'religious' appears in a section defining categories of prohibited organizations for content governance.,1,The keyword 'ethnic' appears in a section defining categories of prohibited organizations for content governance.,0,,0,,0,
H006,heritage,CG,1,The section uses platform-authority language like 'NOT ALLOWED' and 'RESTRICTED' to issue content prohibitions.,0,,1,The section describes content prohibitions aimed at preventing harm from dangerous weight management behaviors.,0,,0,,1,"The section specifies content that is 'FYF INELIGIBLE,' which is a rule governing a mechanism of user participation.",0,,0,,0,,0,,0,,1,"The section contains the keyword 'Religious' in a list of allowed content, which is a form of content governance.",0,,0,,0,,0,
H007,heritage,CG,1,The section uses platform-authority language such as 'we also provide some protections' and 'we may consider'.,0,,1,The section defines attributes for the purpose of providing 'protections' against 'severe psychological harm'.,0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'Religion' in a list of protected attributes within a content governance context.,1,The section contains the keywords 'Ethnicity' and 'Tribe' in a list of protected attributes within a content governance context.,0,,0,,0,
H008,heritage,CG,1,"The section uses platform-authority language to issue content prohibitions, such as 'We do not allow'.",0,,1,"The section prohibits content to prevent harm, specifically mentioning 'voter interference' and 'off-platform violence'.",0,,0,,1,The section discusses a mechanism for user participation by mentioning content may be 'ineligible for the FYF'.,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'traditional' within a discussion of content rules ('traditional paid advertisements').,0,,0,
H009,heritage,CG,1,The section contains the explicit content prohibition 'We do not allow paid political promotion...',0,,1,"The section prohibits a category of content to prevent social harm ('division'), co-occurring with power.",0,,1,"The section describes the platform as 'a place that brings people together,' invoking a valued collective.",0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'traditional' within a discussion of content governance ('traditional paid advertisements').,0,,0,
H010,heritage,CG,1,"The section uses explicit platform-authority language to prohibit content, such as 'NOT ALLOWED'.",0,,1,The section describes content prohibitions oriented toward preventing harm from sexually explicit content.,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keywords 'cultural norms' and 'cultural behaviors' within a discussion of content rules and exceptions.,1,The section contains the keyword 'traditional' ('traditional dress festivals') within a discussion of content rules.,0,,0,
