sample_id,category,gemini_power,gemini_reason_power,gemini_privacy,gemini_reason_privacy,gemini_safety,gemini_reason_safety,gemini_choice,gemini_reason_choice,gemini_community,gemini_reason_community,gemini_engagement,gemini_reason_engagement,gemini_ip_protection,gemini_reason_ip_protection,gemini_improvement,gemini_reason_improvement,gemini_care,gemini_reason_care,gemini_accountability,gemini_reason_accountability,gemini_B1_authenticity_claims,gemini_reason_B1_authenticity_claims,gemini_B2_religious_sensitivity,gemini_reason_B2_religious_sensitivity,gemini_B3_indigenous_minority,gemini_reason_B3_indigenous_minority,gemini_B4_traditional_craftsmanship,gemini_reason_B4_traditional_craftsmanship,gemini_B5_commercialization_culture,gemini_reason_B5_commercialization_culture,gemini_B6_ai_cultural_content,gemini_reason_B6_ai_cultural_content
S001,CCC,1.0,The section asserts the platform's authority by stating that creators 'must follow' various rules and implies consequences for violations.,0.0,,0.0,,0.0,,1.0,The text refers to 'creators' as a specific group with a dedicated 'creator code of conduct' and 'Creator Academy'.,1.0,"The section explicitly mentions policies relevant to participation features like 'TikTok Shop, Creator Rewards Program, and TikTok LIVE'.",0.0,,0.0,,1.0,"The section directs users to the 'Creator Academy' as a resource where they can 'Learn more', which qualifies as educational support.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S002,CCC,1.0,The text asserts platform authority by stating that access to creator activities is a 'privilege and not a right'.,0.0,,1.0,The text explicitly states an expectation to follow rules 'to help maintain a safe and welcoming environment'.,0.0,,1.0,The text refers to 'creators' as a valued group and invokes 'our community' as a collective entity.,1.0,"The section describes programs that 'support, promote and reward creators for their content and contributions'.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S003,CG,1.0,The text asserts the platform's authority by stating 'We do not permit sexually exploitative content.',0.0,,1.0,"The section describes prohibitions on content like sexual exploitation, assault, and violence to prevent harm to users.",0.0,,0.0,,1.0,"The text prohibits specific forms of user participation by stating 'Do not post, upload, stream, or share' certain content.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S004,CG,1.0,The section asserts the platform's authority by stating 'we restrict content only when necessary'.,0.0,,1.0,"The section describes rules oriented toward preventing harm, listing 'physical, psychological, financial, and privacy harms'.",0.0,,1.0,The section invokes 'our vibrant community' as a collective group with shared practices of creativity and expression.,1.0,The section discusses enabling user participation through 'free expression' and 'creativity'.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S005,CG,1.0,"The section asserts the platform's authority by stating 'We do not allow paid political promotion, political advertising, or fundraising'.",0.0,,1.0,"The policy aims to prevent social harm ('division') by prohibiting political advertising, which aligns with preserving community well-being.",0.0,,0.0,,1.0,"The section discusses and prohibits specific forms of participation, namely political advertising and compensated political content from creators.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S006,CG,1.0,"The section asserts the platform's authority by explicitly prohibiting users from posting, uploading, streaming, or sharing specific content.",0.0,,1.0,The entire section describes content prohibitions designed to preserve the well-being of minors and prevent harm.,0.0,,0.0,,1.0,"The text prohibits specific forms of interactivity and participation, such as posting, uploading, streaming, sharing, and using features like duets.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S007,CG,0.0,,0.0,,1.0,"The section defines severe harms like human trafficking and smuggling, which are prohibited to preserve user well-being.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S008,CG,1.0,The text asserts the platform's authority by stating 'we will interrupt repetitive content patterns'.,0.0,,1.0,"The text describes interrupting 'problematic' content clusters (dieting, sadness) 'to protect our community' from harm.",0.0,,1.0,The text invokes the user base as a collective to be protected by using the phrase 'to protect our community'.,1.0,"The text discusses content being 'eligible for the FYF' and how it is 'viewed', which relates to platform participation.",0.0,,1.0,The text describes an effort to enhance platform features by discussing the 'approach to safeguarding and diversifying recommendations'.,1.0,The text directs users to educational resources by stating 'Learn more about our approach...'.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S009,CG,1.0,The section asserts the platform's authority by stating 'We do not allow account behaviors...',0.0,,1.0,"The section prohibits harmful behaviors like spam, misleading content, and impersonation to protect the community.",1.0,The section describes a user option: 'You can set up multiple accounts on TikTok...',1.0,The section invokes 'our community' as a collective group to be protected from spam and misleading behavior.,1.0,"The section discusses rules for participation through account creation and behavior (e.g., parody, multiple accounts).",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S010,CG,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,The section defines a specific type of user participation (posting branded content) and the rules governing that interaction.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
