sample_id,category,year,filename,section_position,section_text,power,privacy,safety,choice,community,engagement,ip_protection,improvement,care,accountability,B1_authenticity_claims,B2_religious_sensitivity,B3_indigenous_minority,B4_traditional_craftsmanship,B5_commercialization_culture,B6_ai_cultural_content,human_notes
S001,CCC,2025,CCC_20251112194848_KZ2GDGX572RH.html,4月6日,"All creators must follow our creator code of conduct in addition to our Community Guidelines , Terms of Service , and any policies relevant to our monetization products, such as TikTok Shop, Creator Rewards Program, and TikTok LIVE. Learn more about the creator code of conduct in our Creator Academy . What happens to your TikTok account if there's a violation?",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S002,CCC,2024,CCC_20240417230402_TCOHRYCDQMZ2.html,1月3日,"Creator Academy Home Knowledge base Courses Creator Center Community Guidelines Creator Code of Conduct Creator Code of Conduct 0 views Last updated: Apr 17, 2024 TikTok offers a number of programs, features, events and campaigns that support, promote and reward creators for their content and contributions to our platform (collectively, ""Creator Activities""). We remind you that access to Creator Activities is a privilege and not a right. To help maintain a safe and welcoming environment for our community, we expect everyone to follow our Community Guidelines and Terms of Service .",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
S003,CG,2022,CG_20220921235203_CGV6HHFXG37I.html,71-73,"Sexual exploitation

 Sexual exploitation is defined as any actual or attempted abuse of a position of vulnerability, power, or trust for sexual purposes, including profiting monetarily, socially, or politically from the sexual exploitation of another. We do not permit sexually exploitative content. **Do not post, upload, stream, or share:** 
- Content that depicts, solicits, promotes, normalizes, or glorifies non-consensual sexual acts or non-consensual touching, including rape and sexual assault 
- Content that depicts, solicits, promotes, normalizes, or glorifies the sharing of non-consensual intimate imagery, including sexual images that are taken, created, or shared without consent 
- Content that depicts, promotes, normalizes, or glorifies sexual violence 
- Content that depicts, promotes, or glorifies sexual solicitation, including offering or asking for sexual partners, sexual chats or imagery, sexual services, premium sexual content, or sexcamming 

Nudity and sexual activity involving adults

 Nudity and sexual activity include content that is overtly revealing of breasts, genitals, anus, or buttocks, or behaviors that mimic, imply, or display sex acts.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S004,CG,sub,CG_sub_20241223144000_HXYAHTKQ35DJ.html,8月10日,"This includes individual physical, psychological, financial, and privacy harms, as well as societal harms. To strike the right balance with free expression, we restrict content only when necessary and in a way that seeks to minimize the impact on speech. - Enable free expression:The creativity unlocked by expression is what powers our vibrant community.",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
S005,CG,sub,CG_sub_20240710032929_QQBG4QAE5L7A.html,15-17,"NOT ALLOWED 
- Misinformation that poses a risk to public safety or may induce panic about a crisis event or emergency, including using historical footage of a previous attack as if it were current, or incorrectly claiming a basic necessity (such as food or water) is no longer available in a particular location 
- Health misinformation, such as misleading statements about vaccines, inaccurate medical advice that discourages people from getting appropriate medical care for a life-threatening disease, or other misinformation which may cause negative health effects on an individual's life 
- Climate change misinformation that undermines well-established scientific consensus, such as denying the existence of climate change or the factors that contribute to it 
- Conspiracy theories that name and attack individual people 
- Conspiracy theories that are violent or hateful, such as making a violent call to action, having links to previous violence, denying well-documented violent events, or causing prejudice towards a group with a protected attribute FYF INELIGIBLE 
- Conspiracy theories that are unfounded and claim that certain events or situations are carried out by covert or powerful groups, such as ""the government"" or a ""secret society"" 
- Moderate harm health misinformation, such as an unproven recommendation for how to treat a minor illness 
- Repurposed media, such as showing a crowd at a music concert and suggesting it is a political protest 
- Misrepresenting authoritative sources, such as selectively referencing certain scientific data to support a conclusion that is counter to the findings of the study 
- Unverified claims related to an emergency or unfolding event 
- Potential high-harm misinformation while it is undergoing a fact-checking review ALLOWED 
- Statements of personal opinion (as long as it does not include harmful misinformation) 
- People sharing their own stories or experiences about medical treatment or procedures, or health care systems (as long as it does not contain harmful misinformation, or encourage people to ignore professional medical advice or public health authority guidance) 
- Discussions about climate change, such as the benefits or disadvantages of particular policies or technologies, or personal views related to specific weather events (as long as it does not undermine scientific consensus) 

Civic and Election Integrity

 Elections are important events and are often the subject of intense discussion and analysis. We try to balance enabling these discussions, while also being a place that brings people together and does not cause division. **We do not allow paid political promotion, political advertising, or fundraising by politicians and political parties (for themselves or others).** Our political advertising policy includes both traditional paid advertisements and creators receiving compensation to support or oppose a candidate for office.",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
S006,CG,2022,CG_20220831172945_NNUKDNZZJLZP.html,36-38,"Sexual exploitation of minors includes any abuse of a position of power or trust for sexual purposes, including profiting financially, socially, sexually, or politically from the exploitation of a minor. CSAM is defined as any visual depiction of sexually explicit nudity or conduct of a minor, whether captured by predatory adults, peers, or self-generated by minors. **Do not post, upload, download, stream, or share:** 
- Content that shares, reshares, offers to trade or sell, or directs users off platform to obtain or distribute CSAM 
- Content that engages with minors in a sexualized way, or otherwise sexualizes a minor (e.g., via product features like duets) 
- Content that depicts, solicits, glorifies, or encourages child abuse imagery including nudity, sexualized minors, or sexual activity with minors 
- Content that depicts, promotes, normalizes, or glorifies pedophilia or the sexual assault of a minor 
- Content that re-victimized or capitalizes on minor victims of abuse by third party reshares or reenactments of assault or confessions 

Grooming behavior

 Grooming behaviors are those in which an adult builds an emotional relationship with a minor in order to gain the minor's trust for the purposes of future or ongoing sexual contact, sexual abuse, trafficking, or other exploitation.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S007,CG,sub,CG_sub_20240201070728_LOAW4ZOWWUBR.html,48-50,"**More information** **Human trafficking** involves earning a profit by exploiting others through the use of fraud, force, or coercion. Considered a form of modern slavery, it can include sex, labor, youth, or organ trafficking, forced marriage, exploitative begging, and the recruitment of youth soldiers. **Human smuggling** involves earning a profit by helping a person to illegally enter another country.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S008,CG,sub,CG_sub_20230422010542_MBFHH2MY4344.html,4月6日,"Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive content patterns to ensure it is not viewed too often. Learn more about our approach to safeguarding and diversifying recommendations.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S009,CG,sub,CG_sub_20230523011735_7P5QYFSFHCJ5.html,44-46,"**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than the @username). You can set up multiple accounts on TikTok to create different channels for authentic creative expression, but not for deceptive purposes.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
S010,CG,sub,CG_sub_20231018054032_G4RDSI55DAXO.html,35-37,"**Branded content** is content that promotes goods or services where you receive something of value from a third party, such as a brand, in exchange for your post. This includes content that is required to be disclosed by your local laws or regulations. **Disclosures** are clear statements that explain your relationship to a third party.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
