sample_id,source,code,human,gemini,gemini_reason,section_text
S001,pilot,power,1,0,,"All creators must follow our creator code of conduct in addition to our Community Guidelines , Terms of Service , and any policies relevant to our monetization products, such as TikTok Shop, Creator Rewards Program, and TikTok LIVE. Learn more about the creator code of conduct in our Creator Academy"
S001,pilot,safety,0,1,"The section establishes the obligation for creators to follow rules like the Community Guidelines and a code of conduct, which are frameworks for safety.","All creators must follow our creator code of conduct in addition to our Community Guidelines , Terms of Service , and any policies relevant to our monetization products, such as TikTok Shop, Creator Rewards Program, and TikTok LIVE. Learn more about the creator code of conduct in our Creator Academy"
S002,pilot,community,1,0,,"Creator Academy Home Knowledge base Courses Creator Center Community Guidelines Creator Code of Conduct Creator Code of Conduct 0 views Last updated: Apr 17, 2024 TikTok offers a number of programs, features, events and campaigns that support, promote and reward creators for their content and contri"
S004,pilot,power,1,0,,"This includes individual physical, psychological, financial, and privacy harms, as well as societal harms. To strike the right balance with free expression, we restrict content only when necessary and in a way that seeks to minimize the impact on speech. - Enable free expression:The creativity unloc"
S004,pilot,engagement,1,0,,"This includes individual physical, psychological, financial, and privacy harms, as well as societal harms. To strike the right balance with free expression, we restrict content only when necessary and in a way that seeks to minimize the impact on speech. - Enable free expression:The creativity unloc"
S005,pilot,power,1,0,,"NOT ALLOWED 
- Misinformation that poses a risk to public safety or may induce panic about a crisis event or emergency, including using historical footage of a previous attack as if it were current, or incorrectly claiming a basic necessity (such as food or water) is no longer available in a particu"
S005,pilot,community,1,0,,"NOT ALLOWED 
- Misinformation that poses a risk to public safety or may induce panic about a crisis event or emergency, including using historical footage of a previous attack as if it were current, or incorrectly claiming a basic necessity (such as food or water) is no longer available in a particu"
S005,pilot,engagement,1,0,,"NOT ALLOWED 
- Misinformation that poses a risk to public safety or may induce panic about a crisis event or emergency, including using historical footage of a previous attack as if it were current, or incorrectly claiming a basic necessity (such as food or water) is no longer available in a particu"
S008,pilot,power,1,0,,"Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive con"
S008,pilot,community,1,0,,"Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive con"
S008,pilot,engagement,0,1,"The section discusses content eligibility for the For You Feed (FYF), which is a core mechanism for platform participation.","Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive con"
S008,pilot,improvement,0,1,"The section describes the platform's approach to 'diversifying recommendations,' which is an enhancement of its features.","Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive con"
S009,pilot,safety,0,1,"The section prohibits account behaviors that spam, mislead, or impersonate to prevent harm to the community.","**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than"
S009,pilot,choice,0,1,The text explicitly states that users 'can set up multiple accounts' as an option for creative expression.,"**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than"
S009,pilot,engagement,1,0,,"**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than"
S009,pilot,ip_protection,1,0,,"**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than"
S010,pilot,safety,0,1,"The section outlines rules for disclosures on branded content, which serves to protect users from deceptive commercial practices.","**Branded content** is content that promotes goods or services where you receive something of value from a third party, such as a brand, in exchange for your post. This includes content that is required to be disclosed by your local laws or regulations. **Disclosures** are clear statements that expl"
S011,pilot,engagement,1,0,,"We will also ban an account if we become aware that the account holder is a violent or hateful actor or has been convicted of a sexual crime or other serious offense against a young person. We may consider off-platform activity related to violence, hate, and child sexual exploitation and abuse to he"
S012,pilot,choice,0,1,"The section describes a user-selectable option, the 'branded content toggle'.","Relationships include receiving financial compensation from, having a relative who works for, and being an employee of that third party. **Something of value** may refer to cash payments, free products, store credit, discounts, and special access to products, services, or events. **REQUIRED disclosu"
S013,pilot,power,1,0,,"NOT ALLOWED 
- Content that violates someone else's copyrights, trademarks, or other IP rights FYF INELIGIBLE 
- Reused or unoriginal content posted without creative edits, such as clips that show someone else’s watermark or logo 
- Low-quality or minimally edited content, such as short clips made f"
S013,pilot,safety,0,1,The section prohibits deceptive behaviors and the trade of services that manipulate the platform to preserve a trustworthy space.,"NOT ALLOWED 
- Content that violates someone else's copyrights, trademarks, or other IP rights FYF INELIGIBLE 
- Reused or unoriginal content posted without creative edits, such as clips that show someone else’s watermark or logo 
- Low-quality or minimally edited content, such as short clips made f"
S013,pilot,community,1,0,,"NOT ALLOWED 
- Content that violates someone else's copyrights, trademarks, or other IP rights FYF INELIGIBLE 
- Reused or unoriginal content posted without creative edits, such as clips that show someone else’s watermark or logo 
- Low-quality or minimally edited content, such as short clips made f"
S014,pilot,engagement,1,0,,"We welcome people coming together to find connections, participate in shared experiences, and feel part of a broader community. We work to make sure this occurs in a supportive space that does not negatively impact people’s physical or psychological health. Suicide and Self-Harm

 We want TikTok to "
S015,pilot,power,1,0,,Our mission is simple: we want to inspire creativity and bring joy. We have Community Guidelines to help keep TikTok a safe and positive experience. These rules apply to everyone and everything on our platform.
S015,pilot,engagement,1,0,,Our mission is simple: we want to inspire creativity and bring joy. We have Community Guidelines to help keep TikTok a safe and positive experience. These rules apply to everyone and everything on our platform.
S016,pilot,community,1,0,,"When warranted, we will report threats to relevant legal authorities. To effectively protect our community, we may consider information available on other platforms and offline to identify violent and extremist individuals and organizations on our platform. If we find such individuals or organizatio"
S019,pilot,care,1,0,,"Creating a positive community on TikTok requires a multifaceted approach that involves policies, settings and controls, technology, moderation, and more, but we believe this step towards more accessible user education is just as valuable. With “You’re in Control,” we hope you’ll feel inspired to use"
