sample_id,source,category,gemini_power,gemini_reason_power,gemini_privacy,gemini_reason_privacy,gemini_safety,gemini_reason_safety,gemini_choice,gemini_reason_choice,gemini_community,gemini_reason_community,gemini_engagement,gemini_reason_engagement,gemini_ip_protection,gemini_reason_ip_protection,gemini_improvement,gemini_reason_improvement,gemini_care,gemini_reason_care,gemini_accountability,gemini_reason_accountability,gemini_B1_authenticity_claims,gemini_reason_B1_authenticity_claims,gemini_B2_religious_sensitivity,gemini_reason_B2_religious_sensitivity,gemini_B3_indigenous_minority,gemini_reason_B3_indigenous_minority,gemini_B4_traditional_craftsmanship,gemini_reason_B4_traditional_craftsmanship,gemini_B5_commercialization_culture,gemini_reason_B5_commercialization_culture,gemini_B6_ai_cultural_content,gemini_reason_B6_ai_cultural_content
S001,pilot,CCC,0,,0,,1,"The section establishes the obligation for creators to follow rules like the Community Guidelines and a code of conduct, which are frameworks for safety.",0,,0,,1,"The section explicitly names monetization products (TikTok Shop, Creator Rewards Program, TikTok LIVE) which are mechanisms for user participation.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
S002,pilot,CCC,1,The text asserts the platform's authority by stating that access to creator activities 'is a privilege and not a right'.,0,,1,The text explicitly states the goal is 'to help maintain a safe and welcoming environment' by following the Community Guidelines.,0,,0,,1,"The text describes mechanisms for participation, such as 'programs, features, events and campaigns that support, promote and reward creators'.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
S003,pilot,CG,0,,0,,1,The section defines and prohibits various forms of sexually exploitative content and nudity to prevent harm to users.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
S004,pilot,CG,0,,0,,1,"The section explicitly discusses restricting content to prevent various harms, including physical, psychological, financial, and societal.",0,,1,"The section describes the platform's 'vibrant community' as being powered by creativity, invoking it as a valued collective.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
S005,pilot,CG,0,,0,,1,"The section describes a content prohibition by stating 'We do not allow paid political promotion, political advertising, or fundraising'.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
S006,pilot,CG,0,,0,,1,The section describes content prohibitions against sexual exploitation of minors and CSAM to preserve user well-being.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
S007,pilot,CG,0,,0,,1,"The section defines human trafficking and smuggling, which are severe harms, establishing a basis for rules that preserve user well-being.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
S008,pilot,CG,0,,0,,1,The section describes interrupting repetitive content patterns involving dieting or sadness specifically to protect users from harm.,0,,0,,1,"The section discusses content eligibility for the For You Feed (FYF), which is a core mechanism for platform participation.",0,,1,"The section describes the platform's approach to 'diversifying recommendations,' which is an enhancement of its features.",0,,0,,0,,0,,0,,0,,0,,0,
S009,pilot,CG,0,,0,,1,"The section prohibits account behaviors that spam, mislead, or impersonate to prevent harm to the community.",1,The text explicitly states that users 'can set up multiple accounts' as an option for creative expression.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
S010,pilot,CG,0,,0,,1,"The section outlines rules for disclosures on branded content, which serves to protect users from deceptive commercial practices.",0,,0,,1,"The section defines branded content, which is a specific mechanism for user participation and monetization on the platform.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
